Matrice des probabilités (heure x paquets):
9 19 10 300
Heure	0	1	2	3	4	5	6	7	8	9
9	0.6333333333333333037273860	0.2000000000000000111022302	0.1000000000000000055511151	0.0666666666666666657414808	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000
10	0.6666666666666666296592325	0.0000000000000000000000000	0.1666666666666666574148081	0.0000000000000000000000000	0.1666666666666666574148081	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000
11	0.3666666666666666407614628	0.2000000000000000111022302	0.1333333333333333314829616	0.0333333333333333328707404	0.0666666666666666657414808	0.2000000000000000111022302	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000
12	0.2666666666666666629659233	0.1666666666666666574148081	0.0666666666666666657414808	0.1000000000000000055511151	0.0333333333333333328707404	0.1666666666666666574148081	0.1666666666666666574148081	0.0333333333333333328707404	0.0000000000000000000000000	0.0000000000000000000000000
13	0.2666666666666666629659233	0.1333333333333333314829616	0.0666666666666666657414808	0.1333333333333333314829616	0.0666666666666666657414808	0.1000000000000000055511151	0.0666666666666666657414808	0.0666666666666666657414808	0.0666666666666666657414808	0.0333333333333333328707404
14	0.2000000000000000111022302	0.0666666666666666657414808	0.2000000000000000111022302	0.2000000000000000111022302	0.0333333333333333328707404	0.0000000000000000000000000	0.1666666666666666574148081	0.0333333333333333328707404	0.0666666666666666657414808	0.0333333333333333328707404
15	0.1666666666666666574148081	0.1666666666666666574148081	0.2000000000000000111022302	0.1000000000000000055511151	0.2333333333333333370340767	0.1000000000000000055511151	0.0333333333333333328707404	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000
16	0.2999999999999999888977698	0.1666666666666666574148081	0.2000000000000000111022302	0.1666666666666666574148081	0.0666666666666666657414808	0.0666666666666666657414808	0.0000000000000000000000000	0.0333333333333333328707404	0.0000000000000000000000000	0.0000000000000000000000000
17	0.2999999999999999888977698	0.4000000000000000222044605	0.1666666666666666574148081	0.0333333333333333328707404	0.0666666666666666657414808	0.0333333333333333328707404	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000
18	0.4333333333333333481363070	0.3666666666666666407614628	0.1000000000000000055511151	0.1000000000000000055511151	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000
19	0.9333333333333333481363070	0.0666666666666666657414808	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000
